loss,accuracy,val_loss,val_accuracy,lr
1.0231153964996338,0.6620648503303528,0.6737085580825806,0.7948964834213257,1e-04
0.4520188271999359,0.8516206741333008,0.47764360904693604,0.8425613641738892,1e-04
0.298121839761734,0.9034813642501831,0.34360140562057495,0.8960038423538208,1e-04
0.20672607421875,0.9331332445144653,0.3086383640766144,0.9041887521743774,1e-04
0.16345714032649994,0.9465786218643188,0.23702700436115265,0.929706335067749,1e-04
0.14131692051887512,0.9539015889167786,0.19158409535884857,0.947039008140564,1e-04
0.11970493942499161,0.9624249935150146,0.1997727006673813,0.948483407497406,1e-04
0.10380219668149948,0.965786337852478,0.271710604429245,0.9330765604972839,1e-04
0.09654778987169266,0.9679471850395203,0.24712547659873962,0.9321136474609375,1e-04
0.09003623574972153,0.971188485622406,0.17511984705924988,0.9494463205337524,1e-04
0.08398015052080154,0.9721488356590271,0.22035780549049377,0.9475204348564148,1e-04
0.08572771400213242,0.9715486168861389,0.20232325792312622,0.954742431640625,1e-04
0.0705866739153862,0.976590633392334,0.1645740270614624,0.9542609453201294,1e-04
0.07740997523069382,0.9734693765640259,0.21744351089000702,0.9465575218200684,1e-04
0.06073294207453728,0.9782713055610657,0.21000300347805023,0.9513721466064453,1e-04
0.06688658893108368,0.9787514805793762,0.17361997067928314,0.9571497440338135,1e-04
0.0537196546792984,0.9818727374076843,0.18479065597057343,0.9528165459632874,1e-04
0.06748629361391068,0.9770708084106445,0.2205493152141571,0.9446316957473755,1e-04
0.04421721398830414,0.985474169254303,0.18135100603103638,0.9600385427474976,7.4999996e-05
0.04271039739251137,0.9837934970855713,0.18337298929691315,0.9600385427474976,7.4999996e-05
0.0384124331176281,0.9864345788955688,0.19558830559253693,0.956186830997467,7.4999996e-05
0.03673841059207916,0.9873949289321899,0.18300597369670868,0.9576311707496643,7.4999996e-05
0.03935220465064049,0.9865546226501465,0.19617222249507904,0.9605199694633484,7.4999996e-05
0.032622240483760834,0.9883553385734558,0.183641254901886,0.9619643688201904,5.625e-05
0.031044967472553253,0.9885954260826111,0.20531508326530457,0.961001455783844,5.625e-05
0.03308552876114845,0.9879952073097229,0.17749625444412231,0.9653345942497253,5.625e-05
0.02115383930504322,0.9926770925521851,0.1742958426475525,0.9629272818565369,5.625e-05
0.023112142458558083,0.9906362295150757,0.20694978535175323,0.967260479927063,5.625e-05
